statement,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Love and kindness transcend boundaries.,Love and kindness transcend boundaries.,53faf70d89,1,0,0,1,1,0,0.9999996081880168,0.9999995498593135,0.9999995790236648
Love conquers all.,Love conquers all.,1f2f88eb54,1,0,0,1,1,0,0.9327886248428889,0.9986590510396515,0.9651620604365782
Luxembourg is small but beautiful.,Luxembourg is small but beautiful.,537c7fddc4,0,1,0,1,1,0,0.9999782610560002,0.9999897549013531,0.9999840079621628
Machine learning algorithms predict outcomes.,Machine learning algorithms predict outcomes.,4dd8226f5d,0,1,0,1,0,0,0.9994505110710334,0.9999868450543012,0.9997186420957808
Machine vision interprets visual data.,Machine vision interprets visual data.,abc1dfd1b4,0,1,0,0,0,0,0.9980811577998786,0.999968443229896,0.9990243548493885
Malta's waters are crystal clear.,Malta's waters are crystal clear.,7f6a4246b5,0,1,0,0,0,0,0.999010109944945,0.9912878481983056,0.9951414885410402
Manners maketh man.,Manners maketh man.,b0e08e3fdf,1,0,0,1,1,1,0.8176199046217756,0.9998184170299307,0.9041412714676322
Manners matter in group settings.,Manners matter in group settings.,372a7a2413,1,1,0,1,1,0,0.9999999966311183,0.9999999525556028,0.9999999745933603
Manners matter.,Manners matter.,977788c101,1,1,0,1,1,0,0.9999998073865533,0.9999989201696062,0.9999993637779814
Manuscripts preserve historical texts.,Manuscripts preserve historical texts.,76f0f8bcb5,0,1,0,1,0,0,0.9999988580325667,0.9999929586455119,0.9999959083346889
Many cultures practice ancestor worship.,Many cultures practice ancestor worship.,9870ad2d01,1,1,0,1,1,0,0.9999986528660716,0.9999974096253774,0.9999980312455313
Many cultures use chopsticks for eating.,Many cultures use chopsticks for eating.,20f9cdbd1e,0,1,0,1,0,0,0.9999996135577169,0.9999966738941408,0.9999981437248486
Many faiths include anointing rituals.,Many faiths include anointing rituals.,a887b06a2c,0,1,0,1,0,0,0.9999990711850812,0.9999966738972961,0.9999978725404702
Maps are essential for navigation.,Maps are essential for navigation.,e32539f53c,0,1,0,0,0,0,0.9999994400478213,0.9999974096230118,0.9999984248349012
Marie Curie made groundbreaking work in radioactivity.,Marie Curie made groundbreaking work in radioactivity.,11bbb9003d,0,1,0,0,0,0,0.9999998467028908,0.9999998710325274,0.999999858867709
Martin Luther King Jr.'s speech inspired many.,Martin Luther King Jr.'s speech inspired many.,805f5d3223,1,0,0,1,1,0,0.9999999769955789,0.9999999630501989,0.9999999700228889
Mathematical constants like π are universally applicable.,Mathematical constants like π are universally applicable.,34bd473a73,0,1,0,0,0,0,0.9999924011793444,0.999933195491152,0.9999627978970678
"Mathematical fields include algebra, geometry, and calculus.","Mathematical fields include algebra, geometry, and calculus.",489d09e23e,0,1,0,0,0,0,0.999999908659933,0.9999997873685917,0.9999998480142606
Mathematical notation conveys complex ideas succinctly.,Mathematical notation conveys complex ideas succinctly.,6d1a037fcc,0,0,0,1,0,0,0.9999814676545355,0.9999984288567426,0.9999899482196785
Mathematics involves numbers and symbols.,Mathematics involves numbers and symbols.,4967e74f7a,0,1,0,1,0,0,0.9999998743000161,0.9999999927241525,0.9999999335120826
Mathematics reveals the universe's secrets.,Mathematics reveals the universe's secrets.,83ab3bf356,0,1,0,0,0,0,0.6597860473391115,0.8562656649208947,0.7516329812683537
Mathematics reveals universal truths.,Mathematics reveals universal truths.,e3f60fc2ad,0,0,0,1,1,0,0.9994587006898799,0.9999540854728733,0.9997063623966065
Matrices represent data arrays.,Matrices represent data arrays.,89dd71d47f,0,1,0,0,0,0,0.8355137863881938,0.85626572933477,0.845826117869945
Measuring twice saves cutting once.,Measuring twice saves cutting once.,abead70112,0,0,0,1,0,0,0.9999975427811857,0.9999966738909256,0.9999971083359613
Memorizing multiplication tables aids quick calculations.,Memorizing multiplication tables aids quick calculations.,292147411a,0,1,0,1,0,0,0.999999899325942,0.9999999525555175,0.9999999259407294
Metaphors bridge abstract ideas and reality.,Metaphors bridge abstract ideas and reality.,de03fc31af,1,0,0,1,1,0,0.9859442677407031,0.9999684432317877,0.9929315960961136
Metaphors create vivid imagery in language.,Metaphors create vivid imagery in language.,8d9fc3fc4e,0,0,0,1,1,0,0.9999993636574678,0.9999962310252516,0.9999977973401329
Metaphors enrich our conversations.,Metaphors enrich our conversations.,acf2abdd58,1,0,0,1,1,0,0.999999361635272,0.9999951605459654,0.9999972610884126
Meteorology studies atmospheric phenomena like weather.,Meteorology studies atmospheric phenomena like weather.,567c4d409a,0,1,0,0,0,0,0.9999998776615996,0.9999999113620326,0.9999998945118159
Methodologies standardize procedures.,Methodologies standardize procedures.,c13c52e10c,1,1,0,1,0,0,0.9820268032094674,0.9999479721558404,0.9909468757062557
Mexico borders the United States.,Mexico borders the United States.,b1b1c4756a,0,1,0,0,0,0,0.9999999976846191,0.9999999581303891,0.999999977907504
Michelangelo painted the Sistine Chapel ceiling.,Michelangelo painted the Sistine Chapel ceiling.,8dac608237,0,1,0,1,0,0,0.999999698457328,0.9999989201698407,0.9999993093135087
Michelangelo sculpted the Statue of David.,Michelangelo sculpted the Statue of David.,0054147bb4,0,1,0,1,0,0,0.9999936853499514,0.9999974096250963,0.9999955474857901
Michelangelo's works exemplify artistic mastery.,Michelangelo's works exemplify artistic mastery.,b7b82ae8e8,1,1,0,1,1,0,0.999999135100449,0.9999962310284544,0.9999976830633975
Microchips power modern electronic devices.,Microchips power modern electronic devices.,119c57f52a,0,1,0,0,0,0,0.999999958958919,0.9999994220085595,0.9999996904837033
Milk builds strong bones.,Milk builds strong bones.,fff8cf01e9,0,1,0,0,0,0,0.9999664041046136,0.9998585800471681,0.9999124906225102
Mind over matter.,Mind over matter.,b53f95b9ff,0,1,0,1,1,0,0.9092158396948797,0.9373863840733916,0.9231936678258987
Mindful eating prevents overeating.,Mindful eating prevents overeating.,ce5d082f0a,0,1,0,1,0,0,0.9999850589220465,0.9999331954393139,0.9999591268444389
Mindfulness eases anxiety.,Mindfulness eases anxiety.,88086d2279,1,1,0,1,0,0,0.9999998884388069,0.9999979826122521,0.9999989355250755
Mindfulness improves focus.,Mindfulness improves focus.,d2dccfa2a0,1,1,0,1,0,0,0.9999993322096501,0.999999345049839,0.9999993386297445
Modeling clay invites creativity.,Modeling clay invites creativity.,d0e98797f9,0,1,0,1,1,0,0.999999393805211,0.9999974096250057,0.9999984017146162
Modernism challenges traditional norms.,Modernism challenges traditional norms.,3a9efe3eed,1,0,0,1,1,0,0.9999987524059627,0.9999937860252761,0.9999962692125363
Modus ponens is a basic logical structure.,Modus ponens is a basic logical structure.,8483a6898b,0,1,0,0,0,0,0.9816746926672453,0.95653509766617,0.9690233733129819
Monastic orders follow strict rules.,Monastic orders follow strict rules.,c68489be8a,1,1,0,1,0,0,0.9999998831740846,0.9999998123534274,0.9999998477637554
"Monet's ""Water Lilies"" is an iconic impressionist artwork.","Monet's ""Water Lilies"" is an iconic impressionist artwork.",228b8ceff7,0,1,0,1,1,0,0.9999999999999057,0.9999868450551379,0.9999934225058901
Mongolia's steppes are expansive and wild.,Mongolia's steppes are expansive and wild.,88034751cd,0,1,0,0,0,0,0.9999947773555462,0.9999540854314727,0.9999744311865251
Monotheism worships a single god.,Monotheism worships a single god.,18fe292428,1,1,0,1,1,0,0.9999998611048756,0.9999999775888134,0.9999999193468428
Monuments honor cultural heritage.,Monuments honor cultural heritage.,c57dbdf80b,1,1,0,1,1,0,0.9999998937799521,0.9999993450498785,0.9999996194148777
Morning dew glistens on the grass.,Morning dew glistens on the grass.,ec564b1142,0,1,0,0,0,0,0.999999816066648,0.9999966738909403,0.99999824497756
Morning prayers bring peace.,Morning prayers bring peace.,0e294c679b,1,1,0,1,1,0,0.8780226898523403,0.9565351084192515,0.9164385024825568
Morocco's landscapes range from mountains to desert.,Morocco's landscapes range from mountains to desert.,50a11db513,0,1,0,0,0,0,0.9999886850446985,0.9999594804752361,0.9999740826533512
Mosaics create images from small pieces.,Mosaics create images from small pieces.,d94f5ff0b4,0,1,0,0,0,0,0.9999995621034947,0.9999979826117987,0.9999987723573349
Most mammals give live birth.,Most mammals give live birth.,467ecfb930,0,1,0,0,0,0,0.9999839140930635,0.9997942421604455,0.9998890736293254
Mount Etna is one of the most active volcanoes.,Mount Etna is one of the most active volcanoes.,c355655cf0,0,1,0,0,0,0,0.999965949430057,0.9997006375003625,0.9998332846649401
Mount Everest attracts adventurers.,Mount Everest attracts adventurers.,d49b78e3f7,0,1,0,0,1,0,0.9999997868732408,0.9999990470532164,0.9999994169631602
Mount Everest is the tallest peak.,Mount Everest is the tallest peak.,8459e24ac2,0,1,0,0,0,0,0.9999986528662868,0.9999920211048776,0.9999953369800846
Mount Fuji is in Japan.,Mount Fuji is in Japan.,3984300c42,0,1,0,0,0,0,0.9999995683555419,0.9999982196613152,0.9999988940082012
Mount Kilimanjaro is in Tanzania.,Mount Kilimanjaro is in Tanzania.,892fd998ff,0,1,0,0,0,0,0.9990896836265051,0.9999970647188833,0.9995432712081167
Mount Rushmore features the carved faces of four US presidents.,Mount Rushmore features the carved faces of four US presidents.,f7fe2edf10,0,1,0,0,0,0,0.9999996845585108,0.999998428857764,0.9999990567079403
Mountains are formed by tectonic activity.,Mountains are formed by tectonic activity.,60b124a23f,0,1,0,0,0,0,0.9998425060961815,0.9999962310284566,0.9999193656081615
Mountains are majestic.,Mountains are majestic.,9e6cbad18a,0,1,0,0,1,0,0.9999965858629879,0.9999808597175277,0.9999887227593435
Multiplication is repeated addition.,Multiplication is repeated addition.,a7d46ec39b,0,1,0,0,0,0,0.9998926756250198,0.9991864586633653,0.9995395047726731
Murals add vibrancy to communities.,Murals add vibrancy to communities.,eb59308f97,0,1,0,1,1,0,0.9999997495980673,0.9999989201698345,0.9999993348838648
Museums educate and inspire.,Museums educate and inspire.,f568c2f9ca,1,1,0,1,1,0,0.9999998300193093,0.9999997269758527,0.9999997784975797
Music can lift spirits.,Music can lift spirits.,66d6e6927a,1,1,0,1,1,0,0.9999999876384508,0.9999999712234653,0.999999979430958
Music enriches our daily lives.,Music enriches our daily lives.,1117630675,1,1,0,1,1,0,0.9999999850158939,0.9999995498602217,0.9999997674380341
Music evokes powerful memories.,Music evokes powerful memories.,89f950e0e8,1,1,0,1,1,0,0.9999996845582552,0.9999984288567582,0.9999990567073096
Musical genres vary between cultures.,Musical genres vary between cultures.,0e574832dd,0,1,0,1,0,0,0.9999999850159553,0.9999999309686837,0.9999999579923191
Mythology explains cultural beliefs.,Mythology explains cultural beliefs.,4a92c23664,1,1,0,1,1,0,0.9999996728201254,0.9999979826121482,0.9999988277157796
Nanotechnology has applications in medicine.,Nanotechnology has applications in medicine.,a1a2394005,0,1,0,0,0,0,0.999942101616494,0.9999984288566431,0.999970264839962
Natural light regulates your circadian rhythm.,Natural light regulates your circadian rhythm.,ea13c1e2ca,0,1,0,0,0,0,0.9998918370085438,0.9999970647208684,0.9999444494805203
Natural selection drives evolution.,Natural selection drives evolution.,340884db08,0,1,0,0,0,0,0.9999951492882354,0.99999771400023,0.9999964316434105
Nature tends to restore balance.,Nature tends to restore balance.,1dcd41ed3b,0,1,0,0,0,0,0.9999651498225232,0.9997358090661322,0.9998504728686967
Nature walks are calming.,Nature walks are calming.,4ae1a725c1,0,1,0,1,1,0,0.9999998839554664,0.9999994220085506,0.9999996529819818
Nelson Mandela's presidency in South Africa heralded change.,Nelson Mandela's presidency in South Africa heralded change.,73670ed420,1,0,0,1,1,0,0.9999998636107502,0.9999991590273903,0.9999995113190082
Neurons transmit information through electrical signals.,Neurons transmit information through electrical signals.,8d8a792595,0,1,0,0,0,0,0.9996652218351861,0.9999977140004049,0.9998314540965861
New Zealand has picturesque landscapes.,New Zealand has picturesque landscapes.,f788eb6873,0,1,0,0,0,0,0.9999967397062368,0.9999868450548106,0.9999917923682856
Newton’s laws define motion.,Newton’s laws define motion.,00537e3d55,0,1,0,0,0,0,0.9965562023554567,0.9974962354908404,0.9970261081358984
Niagara Falls is awe-inspiring.,Niagara Falls is awe-inspiring.,498cf4ae50,0,1,0,0,1,0,0.999999228708625,0.9999966738943056,0.9999979513006494
Niagara Falls spans the US-Canada border.,Niagara Falls spans the US-Canada border.,893932b624,0,1,0,0,0,0,0.9999989026703862,0.9999951605466826,0.999997031606784
Nikola Tesla contributed significantly to electricity and magnetism.,Nikola Tesla contributed significantly to electricity and magnetism.,07100cb93a,0,1,0,1,0,0,0.9999986847410938,0.9999990470531684,0.9999988658971147
No news is good news.,No news is good news.,8dd774d879,1,0,0,1,1,0,0.991718479993798,0.9659843860987979,0.9787668604318609
"No pain, no gain.","No pain, no gain.",038ba609c5,1,0,0,1,1,1,0.9999846992217623,0.9999142220731454,0.9999494600265438
Nodding signifies agreement.,Nodding signifies agreement.,a2e537047d,1,1,0,1,0,1,0.9999944273298828,0.9999754234694925,0.9999849253545436
Norms ensure societal cohesion.,Norms ensure societal cohesion.,2f4b4ff23b,1,1,0,1,1,0,0.9999971228453898,0.9999594805063439,0.9999783014987448
Norms evolve over time.,Norms evolve over time.,8661d1cae7,0,1,0,1,0,0,0.9999999557210626,0.9999995498601582,0.9999997527905898
North Macedonia's Ohrid Lake is pristine.,North Macedonia's Ohrid Lake is pristine.,43c3ef3653,0,1,0,0,0,0,0.7554019583285185,0.2599247966448728,0.4431113860009454
Norway's fjords are breathtaking.,Norway's fjords are breathtaking.,139fac56bd,0,1,0,0,1,0,0.9999983111774896,0.9999909587294119,0.9999946349466934
Norway’s Northern Lights are mesmerizing.,Norway’s Northern Lights are mesmerizing.,7b208206d9,0,1,0,0,1,0,0.999997744620782,0.9999897549012172,0.9999937497530201
Novels can offer social commentary.,Novels can offer social commentary.,4157971cc8,1,1,0,1,1,0,0.9999999911378255,0.9999999935790873,0.9999999923584564
Nutrients fuel bodily functions.,Nutrients fuel bodily functions.,c6c7d6775e,0,1,0,0,0,0,0.9999999919797018,0.9999997590570388,0.9999998755183634
Objective analysis prevents biases.,Objective analysis prevents biases.,a51f2b94a8,1,0,0,1,0,0,0.5685359268745719,0.8562655245029132,0.6977232356916352
Objective criteria ensure fairness.,Objective criteria ensure fairness.,ab5e9c34ba,1,1,0,1,1,0,0.7407137041291558,0.4954830002163344,0.6058143679571064
Objective critique refines practices.,Objective critique refines practices.,9027cc41fe,1,0,0,1,1,1,0.9983107585446922,0.9999540854753042,0.9991320841513973
Objective data validates theories.,Objective data validates theories.,b91649bdda,1,1,0,1,1,0,0.9995396789169558,0.9998898604132781,0.9997147543323585
Objective results build trust.,Objective results build trust.,89f6dbeea5,1,1,0,1,1,0,0.9999357082566913,0.9997358091065635,0.9998357536858481
Objective review determines quality.,Objective review determines quality.,b065736e89,1,1,0,1,1,0,0.9367773564798656,0.40341389899171676,0.6147430405174962
Ocean waves sound relaxing.,Ocean waves sound relaxing.,b1cac28ad3,0,1,0,0,0,0,0.9999982680893252,0.9999850935012258,0.999991680773579
Oceans are vast and mysterious.,Oceans are vast and mysterious.,d23b459ab6,0,1,0,0,1,0,0.9999998219989877,0.999999047053216,0.9999994345260268
Offer compliments generously.,Offer compliments generously.,2beb890b2b,1,1,0,1,1,1,0.9995824504979179,0.9982785149892883,0.9989302699850552
Offering a smile bridges gaps.,Offering a smile bridges gaps.,4af9916cbc,1,1,0,1,1,1,0.9999989508499607,0.9999937860207557,0.9999963684320238
Offering comfort eases pain.,Offering comfort eases pain.,3398edd98d,1,1,0,1,1,1,0.9999996984583771,0.9999989201699055,0.9999993093140657
Offering forgiveness heals hurts.,Offering forgiveness heals hurts.,39dee546b4,1,0,0,1,1,1,0.999978861466331,0.9998397517720606,0.999909304200038
Offering praise boosts morale.,Offering praise boosts morale.,c49132fc41,1,1,0,1,1,1,0.9999999966566978,0.9999998861868181,0.9999999414217564
Old habits die hard.,Old habits die hard.,ac5e18253e,1,0,0,1,1,0,0.9999996979490052,0.9999987763934269,0.99999923717111
"Once bitten, twice shy.","Once bitten, twice shy.",f6267224da,1,1,0,1,1,1,0.9999983809632608,0.9999897549009295,0.9999940679227939
Online learning platforms democratize education.,Online learning platforms democratize education.,7ad5564f4b,0,1,0,1,1,0,0.9988580268136914,0.9998898604092296,0.9993738104430095
Online platforms offer vast resources.,Online platforms offer vast resources.,ab50135571,0,1,0,1,0,0,0.9999996605616821,0.9999986134706754,0.9999991370160417
Open communication avoids misunderstandings.,Open communication avoids misunderstandings.,cd7a0d94af,1,1,0,1,1,0,0.9999999159182188,0.9999999390800753,0.999999927499147
Open-mindedness encourages learning.,Open-mindedness encourages learning.,e1ebfc95ab,1,0,0,1,1,0,0.9999999719521296,0.9999997873685598,0.9999998796603404
Open-source software enables collaborative innovation.,Open-source software enables collaborative innovation.,c2a97ab696,1,0,0,1,1,0,0.9999901082488931,0.9999990470531662,0.9999945776410418
Opera combines drama and music.,Opera combines drama and music.,e321fe8bc2,1,1,0,1,1,0,0.9999995488106583,0.9999997873685771,0.9999996680896106
Orchestras perform composed music.,Orchestras perform composed music.,d6da116e9e,0,1,0,1,0,0,0.9999999172757605,0.9999994899242657,0.9999997035999902
Organic produce reduces pesticide exposure.,Organic produce reduces pesticide exposure.,0a5ecd4e70,0,1,0,0,0,0,0.9999991756734099,0.9999850935116449,0.9999921345677388
Organization reduces chaos.,Organization reduces chaos.,a742aae33a,1,0,0,1,0,0,0.9999998894202815,0.9999993450498026,0.999999617235005
Organized analyses improve results.,Organized analyses improve results.,70768377a7,0,1,0,0,0,0,0.9999999999999324,0.9999850935156648,0.9999925467300229
Organized data improves clarity.,Organized data improves clarity.,e9f6c9a0f6,0,1,0,1,0,0,0.999999694098216,0.9999987763932382,0.9999992352456218
Organized inquiry investigates impacts.,Organized inquiry investigates impacts.,d61c23fad6,1,1,0,1,1,0,0.948779354135435,0.9912881731678178,0.9698008830168476
Organized reviews validate data.,Organized reviews validate data.,feaf68efdf,0,1,0,1,1,1,0.7870082068632933,0.9615430332217758,0.869909339182976
Organizing files saves time.,Organizing files saves time.,eb07ff912d,0,1,0,1,0,0,0.9999997969509082,0.9999991590272771,0.9999994779890418
Outdoor activities refresh the mind.,Outdoor activities refresh the mind.,36def9739f,0,1,0,1,0,0,0.9999999328463365,0.9999996906231066,0.9999998117347142
Outdoor activities uplift spirits.,Outdoor activities uplift spirits.,da86c685fb,0,1,0,1,1,0,0.999999955720855,0.9999995498593286,0.9999997527900713
Paganism often celebrates natural cycles.,Paganism often celebrates natural cycles.,569f411168,1,1,0,1,1,0,0.9999998773992957,0.9999991590273961,0.9999995182132815
Painting captures light and shade.,Painting captures light and shade.,2fb3770e57,0,1,0,1,0,0,0.9999012331939879,0.9999594804568276,0.9999303564012852
Painting captures moments in time.,Painting captures moments in time.,09ed0fcf95,0,1,0,1,1,0,0.999976191009444,0.9999850935022432,0.9999806422459366
Paintings can convey powerful messages.,Paintings can convey powerful messages.,fe921ac346,0,1,0,1,1,0,0.9999997197492108,0.9999995498593037,0.9999996348042536
Pantheism identifies God with the universe.,Pantheism identifies God with the universe.,0676990639,1,1,0,1,1,0,0.979695181868428,0.9998898604237287,0.9897410159512547
Paper burns at 451 degrees Fahrenheit.,Paper burns at 451 degrees Fahrenheit.,bb578879d5,0,1,0,0,0,0,0.8900133214701343,0.9102014118460096,0.9000507662148134
Paper is made from tree pulp.,Paper is made from tree pulp.,375fddc052,0,1,0,0,0,0,0.999999021829548,0.9999984288564526,0.9999987253429564
Parables often teach moral lessons.,Parables often teach moral lessons.,5b89d146f7,1,0,0,1,1,0,0.9999999877689797,0.9999999880041557,0.9999999878865676
Parallel lines never intersect.,Parallel lines never intersect.,bdd3abdaeb,0,0,0,0,0,0,0.9999965858666642,0.9999945161813734,0.9999955510234833
Participating in marathons challenges and motivates.,Participating in marathons challenges and motivates.,68a7400287,0,1,0,1,1,0,0.9999987059809577,0.9999868450553764,0.9999927755005817
Patagonia spans Argentina and Chile.,Patagonia spans Argentina and Chile.,d9618ac988,0,1,0,0,0,0,0.9999972044860562,0.9999754234722183,0.999986313919835
Patience enhances interactions.,Patience enhances interactions.,485f36d346,1,1,0,1,1,1,0.9999998376796327,0.9999970647217068,0.9999984511997086
Patience is a virtue.,Patience is a virtue.,af13ef2682,1,0,0,1,1,0,0.9999999682791408,0.9999989201698456,0.9999994442243559
Patience pays off.,Patience pays off.,73b4a0a933,1,1,0,1,1,0,0.9999993344352023,0.999997064718802,0.9999981995763582
Patience yields positive results.,Patience yields positive results.,e1b03a8fc3,1,0,0,1,1,0,0.9999996593903813,0.999997982612289,0.9999988210009837
Pebbled beaches offer unique textures.,Pebbled beaches offer unique textures.,51d8d51d79,0,1,0,0,0,0,0.9999984734980343,0.999990958729332,0.9999947161066242
Percentages express proportions.,Percentages express proportions.,0f098143bf,0,1,0,0,0,0,0.9999974800968202,0.9999783112676416,0.9999878956362999
Percentages represent parts per hundred.,Percentages represent parts per hundred.,74731c5110,0,1,0,0,0,0,0.999999332211151,0.9999993450498794,0.9999993386305152
Performance art challenges conventions.,Performance art challenges conventions.,2d4d2a97b7,1,1,0,1,1,0,0.9999948160261172,0.9999990470532821,0.9999969315374619
Performing in plays builds confidence.,Performing in plays builds confidence.,06e9ef625c,1,1,0,1,1,1,0.9999996583074252,0.999998776392175,0.9999992173497029
Peru's Machu Picchu is an ancient wonder.,Peru's Machu Picchu is an ancient wonder.,3ed38f22b1,0,1,0,0,0,0,0.9987298365737414,0.9932086896854626,0.9959654373185758
Pets can provide companionship.,Pets can provide companionship.,1e305fa672,1,1,0,1,1,0,0.999999988138879,0.9999999525555167,0.9999999703471977
Pets can reduce stress.,Pets can reduce stress.,ec11018a3e,1,1,0,1,0,0,0.9999999781983487,0.9999998123534327,0.9999998952758873
Philosophy deepens intellectual inquiry.,Philosophy deepens intellectual inquiry.,021f303f10,1,0,0,1,1,0,0.9999958625049605,0.9999974096255,0.999996636064931
Phone apps can track daily fitness.,Phone apps can track daily fitness.,49aaaf5efe,0,1,0,1,0,0,0.9999998796751685,0.9999999712234653,0.9999999254493158
Photographers capture visual stories.,Photographers capture visual stories.,59a1f2d1e5,0,1,0,1,1,0,0.9999999342546787,0.9999994220085653,0.9999996781315892
Photons are particles of light.,Photons are particles of light.,363fe194b5,0,1,0,0,0,0,0.9993117757480056,0.9999142221716095,0.9996129535745307
"Photosynthesis occurs in the chloroplasts of plant cells.

Expressing empathy strengthens relationships.","Photosynthesis occurs in the chloroplasts of plant cells.

Expressing empathy strengthens relationships.",d4c20e530e,0,1,0,1,1,0,0.9977308106295564,0.999186460958744,0.9984583705204966
Physical phenomena occur naturally.,Physical phenomena occur naturally.,97855a4902,0,1,0,0,0,0,0.9999943490593386,0.9999868450559324,0.9999905970505967
Phytonutrients in veggies fight disease.,Phytonutrients in veggies fight disease.,e058ad1ca4,0,1,0,0,0,0,0.9996443159815508,0.9999028015424732,0.9997735504082722
Pi (π) is approximately 3.14.,Pi (π) is approximately 3.14.,5fb8f1a325,0,1,0,0,0,0,0.9999997808865232,0.9999986134708282,0.9999991971785053
Picasso's Blue Period conveys deep emotion.,Picasso's Blue Period conveys deep emotion.,d22e6946bd,0,1,0,1,1,0,0.9999263748155219,0.9996607849434584,0.9997935710604222
Picasso's Cubism revolutionized visual art.,Picasso's Cubism revolutionized visual art.,331e77d290,0,1,0,1,1,0,0.9999376663317407,0.9996156275459256,0.9997766339723145
Pilgrims often travel to sacred sites.,Pilgrims often travel to sacred sites.,7fcad506b3,0,1,0,1,0,0,0.9999988915876349,0.9999937860209098,0.999996338801014
Planes fly faster than cars.,Planes fly faster than cars.,e2a6b96b71,0,1,0,0,0,0,0.9999999956742982,0.9999999217772675,0.9999999587257822
Planking exercises strengthen the core.,Planking exercises strengthen the core.,da16ca4c48,0,1,0,0,0,0,0.9999999999999766,0.9999992578441148,0.9999996289219768
Planning sequences actions.,Planning sequences actions.,b7e9eb32b9,1,1,0,1,1,1,0.9791128536297885,0.3556615779696485,0.59011255073277
Plant roots absorb nutrients.,Plant roots absorb nutrients.,81578272d1,0,1,0,0,0,0,0.9999999288641976,0.9999995498593113,0.9999997393617365
Planting trees benefits future generations.,Planting trees benefits future generations.,75c597b2c0,0,1,0,0,0,0,0.999999962325806,0.9999999630501998,0.999999962688003
Planting trees combats deforestation.,Planting trees combats deforestation.,6b73fdb3bf,0,1,0,0,0,0,0.9999782610684822,0.9999028015190913,0.9999405305819764
Plato's allegory of the cave explains enlightenment.,Plato's allegory of the cave explains enlightenment.,0029442627,1,0,0,1,1,0,0.967540312338574,0.9974962344435905,0.9824041012893334
Playing chess develops strategic thinking.,Playing chess develops strategic thinking.,f4430cebd8,1,1,0,1,1,0,0.9999998659694862,0.9999999581303909,0.9999999120499375
Playing musical instruments fosters creativity.,Playing musical instruments fosters creativity.,3d514e771c,0,1,0,1,0,0,0.9999998176848955,0.9999989201699091,0.9999993689273016
Playing trivia games stimulates the mind.,Playing trivia games stimulates the mind.,ec3fdc040c,0,1,0,1,1,0,0.9999997709519116,0.9999984288580078,0.9999990999047346
Plays explore complex narratives.,Plays explore complex narratives.,4d5e06d955,0,1,0,1,1,0,0.9998095804297402,0.9999479721561566,0.9998787738986245
Playwrights create dialogue and plot.,Playwrights create dialogue and plot.,bcb895a0f5,1,1,0,1,1,0,0.9999996542270331,0.9999996027522545,0.9999996284896434
Plowing fields increases crop yield.,Plowing fields increases crop yield.,74cb4eab87,0,1,0,0,0,0,0.9999280478189002,0.9995064835826711,0.9997172434799522
Poems convey deep emotions.,Poems convey deep emotions.,4922e23511,1,1,0,1,1,0,0.999999932846338,0.9999996906231123,0.9999998117347179
Poetry uses metaphor and simile.,Poetry uses metaphor and simile.,7507d4e0e0,1,1,0,1,1,0,0.9999998918052728,0.9999996906230906,0.9999997912141766
Poland's old towns are charming.,Poland's old towns are charming.,d8c6d9dc8c,1,1,0,1,1,0,0.8816011251636571,0.9967861168372839,0.9374261369042695
Polytheism worships multiple deities.,Polytheism worships multiple deities.,a489e41c08,1,1,0,1,0,0,0.9999996425576801,0.9999996494300679,0.999999645993874
"Popular beach locations include Hawaii, Maldives, and the Caribbean.","Popular beach locations include Hawaii, Maldives, and the Caribbean.",fe0e0190e8,0,1,0,0,0,0,0.9999998086749105,0.9999990470532977,0.9999994278640315
Portraits capture a person’s likeness.,Portraits capture a person’s likeness.,560d456154,0,1,0,1,1,0,0.999998836799469,0.9999966738937482,0.9999977553460239
Portugal's Algarve is stunningly beautiful.,Portugal's Algarve is stunningly beautiful.,5194ede58b,0,1,0,0,1,0,0.9671442568953879,0.9990780972989326,0.9829815074520142
Positive numbers are greater than zero.,Positive numbers are greater than zero.,fdd1adf956,0,1,0,0,0,0,0.9999998689425301,0.9999999462383581,0.9999999075904433
Positivity attracts positivity.,Positivity attracts positivity.,11fd1f3502,1,1,0,1,1,1,0.9999989475157887,0.999992021104319,0.9999954843040568
Powers of ten simplify large numbers.,Powers of ten simplify large numbers.,10f9eba39c,0,1,0,0,0,0,0.9998880842490774,0.999954085466634,0.9999210843132926
Practice gratitude daily.,Practice gratitude daily.,40d1be32a8,1,1,0,1,1,0,0.9999156342111916,0.9999982196614711,0.99995692608375
Practice makes perfect.,Practice makes perfect.,21f9c35a8c,1,1,0,1,1,0,0.9998779765548459,0.9995064832982764,0.9996922126703451
Practicing instruments prepares for performances.,Practicing instruments prepares for performances.,6495fa6645,1,1,0,1,0,0,0.9999999282585591,0.999999977588813,0.9999999529236857
Practicing mindfulness is like hitting a reset button.,Practicing mindfulness is like hitting a reset button.,9149707207,1,1,0,1,1,0,0.9980801585986159,0.9977901115586415,0.9979351245409591
Practicing moderation supports balanced living.,Practicing moderation supports balanced living.,c54f054662,1,1,0,1,0,0,0.9999999929221215,0.9999997873685615,0.9999998901453363
