statement_number,statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
2278,if you eat healthy you will be healthy,0,1,1,1,0,0,Health and fitness,category response
2279,if you exercise more and eat less you will lose weight,1,1,0,0,0,0,Health and fitness,category response
2280,if you find yourself in a hole stop digging,1,0,1,0,1,1,People and self,aphorism
2281,if you have built castles in the air your work need not be lost that is where they should be now put the foundations under them,0,0,1,0,0,1,Culture and the arts,aphorism
2282,if you have health you probably will be happy and if you have health and happiness you have all the wealth you need even if it is not all you want,0,1,0,1,0,1,Health and fitness,aphorism
2283,if you have too many devices using the same router everything is going to slow down,0,0,0,1,0,0,Technology and applied sciences,category response
2284,if you hurt someone they will be less willing to help you,1,1,0,0,1,1,People and self,category response
2285,if you make yourself into a doormat people will wipe their feet on you,0,0,0,0,0,0,Human activities,aphorism
2286,if you put 4 apples into a bucket with 6 apples then the bucket now has 10 apples,0,1,0,1,0,0,Mathematics and logic,category response
2287,if you travel on the globe far enough in one direction you eventually come back to where you started,0,1,0,0,0,0,Geography and places,category response
2288,if you treat someone poorly than they will remember that,1,1,0,1,0,0,Culture and the arts,category response
2289,if you want to compete against someone then you should enter a competition,1,1,0,1,0,1,People and self,Concept Net
2290,if you want to contemplate then you should think,1,0,0,1,1,0,People and self,Concept Net
2291,if you want to dance then you should turn on some music,1,1,0,1,1,1,Human activities,Concept Net
2292,if you want to dive then you should go to a pool,0,1,0,1,0,1,Human activities,Concept Net
2293,if you want to dream then you should fall asleep,0,1,0,1,0,0,Human activities,Concept Net
2294,if you want to eat ice cream then you should buy some ice cream,1,1,0,0,1,1,Human activities,Concept Net
2295,if you want to empty your bladder then you should go to the bathroom,1,1,0,1,1,0,Health and fitness,Concept Net
2296,if you want to enjoy a film then you should go to a cinema,0,1,0,0,1,1,Culture and the arts,Concept Net
2297,if you want to find a lost item then you should search,1,1,0,1,1,1,General reference,Concept Net
2298,if you want to get fit then you should lift weights,0,1,0,1,1,0,Human activities,Concept Net
2299,if you want to get paid then you should get a job,1,1,0,1,0,1,General reference,Concept Net
2300,if you want to go for a drive then you should get in the car,0,1,0,1,0,1,Human activities,Concept Net
2301,if you want to go for a haircut then you should go to the barber,1,1,0,1,1,1,Human activities,Concept Net
2302,if you want to go jogging then you should put on your shoes,0,1,0,0,0,1,Health and fitness,Concept Net
2303,if you want to go to get a haircut then you should go to your barber,1,1,0,1,1,1,Human activities,Concept Net
2304,if you want to have a checkup then you should make a doctor's appointment,1,1,0,1,0,1,Health and fitness,Concept Net
2305,if you want to have a haircut then you should go to the barber,0,1,0,1,0,0,Human activities,Concept Net
2306,if you want to have food then you should eat it,1,1,0,1,1,1,Human activities,Concept Net
2307,if you want to hear testimony then you should go to court,1,1,0,1,1,0,People and self,Concept Net
2308,if you want to hit the bottle then you should drink some alcohol,1,1,0,0,0,0,Culture and the arts,Concept Net
2309,if you want to learn about a subject then you should study it,1,1,0,1,1,1,Human activities,Concept Net
2310,if you want to listen to music then you should play the cd,1,1,0,1,1,1,Culture and the arts,Concept Net
2311,if you want to make people laugh then you should tell joke,1,1,0,1,1,0,Society and social sciences,Concept Net
2312,if you want to pass a class then you should study,1,1,0,1,0,1,Mathematics and logic,Concept Net
2313,if you want to play a guitar then you should take lessons,1,1,0,1,1,0,People and self,Concept Net
2314,if you want to print on the printer then you should turn the printer on,0,1,0,0,0,1,Technology and applied sciences,Concept Net
2315,if you want to program then you should learn a programming language,1,1,0,0,0,0,Philosophy and thinking,Concept Net
2316,if you want to read a book then you should go to the library,1,1,0,0,1,0,General reference,Concept Net
2317,if you want to read a magazine then you should buy a magazine,1,1,0,1,0,1,General reference,Concept Net
2318,if you want to sate your hunger then you should eat food,0,1,0,0,0,1,Human activities,Concept Net
2319,if you want to see art then you should go to an art museum,1,1,0,0,1,1,Culture and the arts,Concept Net
2320,if you want to see old things then you should go to museum,1,1,0,1,1,1,Culture and the arts,Concept Net
2321,if you want to see your favorite show then you should turn on tv,0,1,0,1,1,0,People and self,Concept Net
2322,if you want to send a criminal to prison then you should convict him,1,1,0,0,0,1,Society and social sciences,Concept Net
2323,if you want to shop then you should go to a store,1,1,0,1,1,0,Human activities,Concept Net
2324,if you want to sleep then you should close your eyes,0,1,0,1,0,0,General reference,Concept Net
2325,if you want to stop your bicycle then you should use its brakes,0,1,0,0,0,0,Technology and applied sciences,Concept Net
2326,if you want to succeed you should strike out on new paths rather than travel the worn paths of accepted success,1,1,1,1,1,1,General reference,aphorism
2327,if you want to swim then you should get into the water,1,1,0,0,0,0,Human activities,Concept Net
2328,if you want to take finals then you should attend a class,1,1,0,1,1,1,Human activities,Concept Net
2329,if you want to talk with someone far away then you should phone someone,1,1,0,1,1,0,People and self,Concept Net
2330,if you want to watch television then you should turn the television on,0,1,0,0,0,0,Technology and applied sciences,Concept Net
2331,if you will live like no one else later you can live like no one else,0,0,0,0,0,1,General reference,aphorism
2332,if your only goal is to become rich you will never achieve it,1,0,0,1,0,1,People and self,aphorism
2333,if youre lost the sun rises in the east and sets in the west,0,1,0,1,0,0,Natural and physical sciences,category response
2334,ignorance and indiscipline are the causes of a man s troubles,0,0,0,1,0,0,General reference,aphorism
2335,ignorance is a way to enjoy inconceivable freedom,1,0,1,1,1,1,General reference,aphorism
2336,ignorance is not knowing,1,1,0,1,0,0,Philosophy and thinking,Concept Net
2337,ignorance is the mother of devotion,1,0,1,1,1,1,Human activities,aphorism
2338,ignorance would make you want to find information,1,0,1,0,1,1,People and self,Concept Net
2339,ill stand up for our shared beliefs,1,0,0,1,1,0,Religion and belief systems,campaign email
2340,im running for congress to make sure everyone has the healthcare they need,1,0,0,1,1,1,Society and social sciences,campaign email
2341,images are nearer reality than written descriptions,0,1,0,0,0,1,Religion and belief systems,aphorism
2342,immigrants should be treated like humans,1,1,0,1,1,0,General reference,campaign email
2343,in a time of drastic change it is the learners who inherit the future the learned usually find themselves equipped to live in a world that no longer exists,1,0,1,1,1,1,Philosophy and thinking,aphorism
2344,in addition to holding the families who lost their loved ones close to our hearts,1,1,1,1,1,1,Society and social sciences,campaign email
2345,in any moment of decision the best thing you can do is the right thing the next best thing is the wrong thing and the worst thing you can do is nothing,1,1,0,1,1,1,Society and social sciences,aphorism
2346,in diving to the bottom of pleasure we bring up more gravel than pearls,1,1,1,1,1,1,Culture and the arts,aphorism
2347,in general the art of government consists in taking as much money as possible from one part of citizens to give it to the other,1,0,1,1,1,1,General reference,aphorism
2348,in historic events the so called great men are labels giving names to events and like labels they have but the smallest connection with the event itself,1,0,1,1,1,1,General reference,aphorism
2349,in love the paradox occurs that two beings become one and yet remain two,1,0,1,1,1,1,Philosophy and thinking,aphorism
2350,in nature we never see anything isolated but everything in connection with something else which is before it beside it under it and over it,1,0,0,0,0,1,Natural and physical sciences,aphorism
2351,in order to continue improving humanities quality of life we need to continue advancing in our tech and science fields,1,0,0,1,1,0,Technology and applied sciences,category response
2352,in the field of scientific observation chance favors the prepared mind,1,0,0,0,0,1,Natural and physical sciences,aphorism
2353,in this world there is always danger for those who are afraid of it,1,0,0,0,0,1,History and events,aphorism
2354,in winter it will snow in alaska,0,1,0,0,0,0,Geography and places,category response
2355,in youth we run into difficulties in old age difficulties run into us,0,0,1,1,0,1,History and events,aphorism
2356,incidents of excessive force by the police should be reported,0,1,0,0,0,0,Human activities,news media
2357,increasing access to education and healthcare is fundamental,1,1,0,1,1,1,Health and fitness,campaign email
2358,incumbents don't want competition from outsiders who might charge lesser for the same services,1,0,0,1,0,1,Society and social sciences,news media
2359,individuals should not be able to obtain a firearm without a background check,0,0,0,0,1,1,Human activities,news media
2360,individuals should not be allowed to impersonate job search services,1,0,0,0,0,1,Philosophy and thinking,news media
2361,individuals should pay heed to age ratings on games,1,1,0,1,0,0,Human activities,news media
2362,individuals should support a free open society which allows for growth within a free market economy,0,0,0,0,1,0,Geography and places,news media
2363,individuals shouldn't engage in whataboutism while talking about vaccines,0,1,0,1,0,1,Culture and the arts,news media
2364,individuals with a conscience go to church,1,0,0,1,1,1,Religion and belief systems,news media
2365,infants are small,0,0,0,0,0,0,General reference,category response
2366,inferiority is what you enjoy in your best friends,0,0,0,0,0,1,General reference,aphorism
2367,infinity is not a number,0,1,1,0,0,1,Mathematics and logic,category response
2368,infrastructure should be developed to safely sequester co2,0,0,0,0,0,1,Society and social sciences,news media
2369,ingesting bleach does not help to protect against covid 19,0,0,0,0,1,0,Health and fitness,news media
2370,instead of wondering when your next vacation is maybe you should set up a life you don't need to escape from,1,1,0,1,1,1,General reference,aphorism
2371,interpretation is needed when there it seems to be a conflict of scripture statements and the principles of natural reason,1,0,0,1,0,1,General reference,aphorism
2372,investing in local fields farms and forests not only helps reduce pollution but also helps preserve habitat for birds,0,1,1,0,0,1,Natural and physical sciences,news media
2373,investing in rural infrastructure will improve the quality of life and access to services in rural america,0,0,0,0,1,1,Geography and places,news media
2374,iron rusts from disuse stagnant water loses its purity and in cold weather becomes frozen even so does inaction sap the vigor of the mind,1,1,1,1,1,1,Philosophy and thinking,aphorism
2375,it always seems impossible until it's done,0,0,1,1,1,0,Philosophy and thinking,aphorism
2376,it does not make sense that our sunblock cream and jam is confiscated in the airport but we can immediately repurchase them afterward,0,0,1,0,0,1,History and events,news media
2377,it is a capital mistake to theorize before one has data insensibly one begins to twist facts to suit theories instead of theories to suit facts,0,1,0,0,0,1,Culture and the arts,aphorism
2378,it is a curious thought but it is only when you see people looking ridiculous that you realize just how much you love them,1,0,0,1,1,1,Philosophy and thinking,aphorism
2379,it is a good idea to get in the far lane to avoid an emergency vehicle towing or maintenance equipment a trash hauler or recycling truck,0,0,0,0,0,1,Religion and belief systems,news media
2380,it is a mark of an inexperienced man not to believe in luck,1,0,1,1,1,1,General reference,aphorism
2381,it is always the best policy to speak the truth unless of course you are an exceptionally good liar,0,0,0,1,1,1,Human activities,aphorism
2382,it is always the start that requires the greatest effort,1,1,1,1,1,1,Philosophy and thinking,aphorism
2383,it is best to avoid staying overnight with headhunters when traveling among tribal people,1,0,1,1,1,1,Culture and the arts,category response
2384,it is better to deserve honor and not have it than have it and do not deserve it,1,0,1,1,1,1,Philosophy and thinking,aphorism
2385,it is better to have less thunder in the mouth and more lightning in the hand,0,1,1,1,1,0,Philosophy and thinking,aphorism
2386,it is better to leave alone there is no companionship with a fool,1,1,1,1,1,1,Philosophy and thinking,aphorism
2387,it is better to stay single than to marry badly,1,1,1,0,1,1,General reference,aphorism
2388,it is colder on top of a mountain than in the valley below that mountain,0,1,0,0,0,0,Geography and places,category response
2389,it is cooler in the shade than in the sun,0,1,0,0,0,0,General reference,category response
2390,it is easier to catch a runaway horse than to take back a spoken word,0,0,1,1,1,1,General reference,aphorism
2391,it is easier to push a thing down hill than to push a thing uphill,0,0,1,1,0,1,Health and fitness,category response
2392,it is fun to explore new places,1,1,0,1,1,0,Geography and places,category response
2393,it is good to be a good person,0,0,0,0,0,0,General reference,category response
2394,it is good to be good,1,0,1,1,1,1,General reference,category response
2395,it is good to think things through before you act,1,0,0,1,1,1,Philosophy and thinking,category response
2396,it is hard to fail but it is worse never to have tried to succeed,1,0,0,1,1,1,Philosophy and thinking,aphorism
2397,it is important to eat well and exercise to be healthy,0,1,0,0,0,0,General reference,category response
2398,it is important to protect yourself and stay healthy,1,1,0,1,1,1,Health and fitness,campaign email
2399,it is important to verify company details online before applying for jobs,0,1,0,0,0,1,Culture and the arts,news media
2400,it is impossible to actually prove that god exists unless god wants it to be proven,1,0,0,1,1,1,Religion and belief systems,category response
2401,it is impossible to travel faster than the speed of light and certainly not desirable as one`s hat keeps blowing off,1,0,1,1,1,1,Philosophy and thinking,aphorism
2402,it is inconceivable how much wit it requires to avoid being ridiculous,0,1,1,0,1,1,General reference,aphorism
2403,it is irresponsible for john to do mary's homework,0,0,0,0,1,1,Society and social sciences,category response
2404,it is most unwise for people in love to marry,0,1,1,1,0,0,General reference,aphorism
2405,it is never too late to be what you might have been,1,0,0,1,1,1,Philosophy and thinking,aphorism
2406,it is not just when politicians take sides on criminal cases for political gain,0,0,0,0,0,1,Culture and the arts,news media
2407,it is not necessary to understand things in order to argue about them,0,0,1,1,1,1,General reference,aphorism
2408,it is not so much our friends` help that helps us as the confidence of their help,1,0,1,1,1,1,Philosophy and thinking,aphorism
2409,it is not sufficient to be worthy of respect in order to be respected,1,1,0,1,1,0,Philosophy and thinking,aphorism
2410,it is not the strongest of the species that survive nor the most intelligent but the one most responsive to change,0,1,0,0,0,1,General reference,aphorism
2411,it is not wisdom but ignorance which teaches men presumption,1,1,1,1,1,1,Philosophy and thinking,aphorism
2412,it is often cooler in higher elevations,0,1,0,0,0,0,Natural and physical sciences,category response
2413,it is often easier to ask for forgiveness than to ask for permission,1,1,1,1,1,0,Philosophy and thinking,aphorism
2414,it is often easier to fight for one`s principles than to live up to them,0,0,0,0,0,1,Religion and belief systems,aphorism
2415,it is one of man`s curious idiosyncrasies to create difficulties for the pleasure of resolving them,1,0,1,1,1,0,Philosophy and thinking,aphorism
2416,it is one thing to praise discipline and another to submit to it,1,0,1,1,1,1,People and self,aphorism
2417,it is only imperfection that complains of what is imperfect the more perfect we are the more gentle and quiet we become towards the defects of others,0,0,0,1,0,1,General reference,aphorism
2418,it is only reason that teaches silence the heart teaches us to speak,1,0,1,1,1,0,Culture and the arts,aphorism
2419,it is pointless to ban weapons which are not the primary weapons being used in most gun violence,1,1,0,1,1,1,Religion and belief systems,news media
2420,it is possible to commit no mistakes and still lose that is not a weakness that is life,1,1,0,0,0,1,General reference,aphorism
2421,it is reasonable for children to use technolgy in moderation,1,1,0,1,0,0,Technology and applied sciences,news media
2422,it is shameful for a young man to question an old one,1,0,0,1,1,1,Philosophy and thinking,aphorism
2423,it is the application of science that gives rise to new technology,0,0,0,1,0,0,Technology and applied sciences,category response
2424,it is the brutally outspoken man that earns enmity,1,1,0,1,1,1,General reference,aphorism
2425,it is the part of a good shepherd to shear his flock not to skin it,1,0,1,1,1,1,Philosophy and thinking,aphorism
2426,it is the responsibility of the intellectuals to speak truth and to expose lies,1,1,1,1,1,1,General reference,aphorism
2427,it is the way we react to circumstances that determines our feelings,1,1,0,1,0,1,History and events,aphorism
2428,it is to be remarked that a good many people are born curiously unfitted for the fate waiting them on this earth,1,0,0,0,0,1,General reference,aphorism
2429,it is vital we introduce commonsense gun protection laws,1,0,0,1,1,0,Society and social sciences,news media
2430,it is wise to be honest and admit it when you have lost all your money,0,0,0,0,0,1,Philosophy and thinking,category response
2431,it is wrong to accuse someone of wrong behavior without any evidence,1,0,0,1,1,0,Human activities,category response
2432,it isn warmer near the equator,0,1,0,0,0,0,Geography and places,category response
2433,it s a funny thing about life if you refuse to accept anything but the best you very often get it,1,0,1,1,1,1,Philosophy and thinking,aphorism
2434,it s not the fault of the pig but of the one who scratches his back,0,0,1,1,0,1,History and events,aphorism
2435,it should not be difficult to file complaints of misconduct by the police,1,1,0,1,1,0,General reference,news media
2436,it takes as much energy to wish as it does to plan,1,0,1,1,1,0,Philosophy and thinking,aphorism
2437,it takes something more than intelligence to act intelligently,0,0,1,1,1,1,General reference,aphorism
2438,it would be impossible for someone standing outisde on the ground to easily identify people who dug themselves into a hole,0,0,1,0,1,1,General reference,category response
2439,it would seem that there is not only one world but also many,0,0,0,0,0,1,Natural and physical sciences,aphorism
2440,it's about all of us working together and we can win,0,0,0,1,1,0,Religion and belief systems,campaign email
2441,it's better to hang out with people better than you pick out associates whose behavior is better than yours and you'll drift in that direction,0,1,0,0,0,1,Culture and the arts,aphorism
2442,it's better to live in peace poorly than to be rich and filled with stress,0,1,0,1,1,0,General reference,category response
2443,it's difficult to argue about religious beliefs because they are based on faith,1,0,0,1,1,1,Religion and belief systems,category response
2444,it's important to consider all aspects of our future so we do not repeat the past,1,1,1,1,1,0,General reference,category response
2445,it's not right to give less stimulus money for states who maintain stricter covid 19 measures,0,1,0,0,0,1,People and self,news media
2446,it's not what you know it's when you know it,1,0,1,1,1,0,General reference,aphorism
2447,it's obvious that votebymail should be made accessible to all americans during the covid pandemic,1,0,0,1,1,0,Society and social sciences,campaign email
2448,it's tough to make predictions especially about the future,1,1,0,1,0,1,General reference,aphorism
2449,it`s perfectly understandable that the wolves call for the sheep to be disarmed sheep`s wool offers a certain resistance to the wolf`s bite,0,0,0,0,1,1,Religion and belief systems,aphorism
2450,it`s risky in a marriage for a man to come home too late but it can sometimes pose an even greater risk if he comes home too early,1,0,0,1,1,1,People and self,aphorism
2451,it`s so easy to love the only hard thing is to be loved,1,0,1,1,1,1,Culture and the arts,aphorism
2452,its not an anomaly if it happens all the time,1,1,0,0,0,0,Mathematics and logic,aphorism
2453,its possible to circumvent the earth due to its spherical shape,0,1,1,0,0,1,Natural and physical sciences,category response
2454,its time to get the senate back up and working again,1,0,0,1,1,0,Society and social sciences,campaign email
2455,its time to send kids back to school,1,1,0,0,0,1,Human activities,campaign email
2456,jesus died for our sins,1,1,0,1,1,0,Religion and belief systems,category response
2457,jesus is lord,1,0,0,1,1,0,Religion and belief systems,category response
2458,jesus is one of the primary figures in christianity,0,1,1,1,0,0,General reference,category response
2459,joe will help with gun violence,1,0,0,1,1,1,Religion and belief systems,campaign email
2460,john is agreeable if he takes mary up on the offer,1,1,0,1,1,1,People and self,category response
2461,john is likely to get fired if he has a great boss,0,0,0,1,1,1,Culture and the arts,category response
2462,john is thoughtful because he helps mary's mom,1,1,0,1,0,0,People and self,category response
2463,john keeps up jake's spirits by taking him to do fun things,1,0,0,1,1,0,People and self,category response
2464,john may look up recipes online if he has never cooked before,1,1,0,1,1,1,People and self,category response
2465,john should not believe the news mary brings,1,0,0,0,1,1,Culture and the arts,category response
2466,john will change if mary changes his life,1,0,0,1,1,1,People and self,category response
2467,john will expect mary to be angry if he surprises her,1,1,1,0,1,1,Human activities,category response
2468,john will feel happy if he bothers mary,1,1,0,0,1,1,General reference,category response
2469,john will feel sad if mary impresses his girlfriend,1,1,0,1,1,0,Human activities,category response
2470,john will feel successful if he digs himself into a hole,0,0,0,0,0,0,General reference,category response
2471,john will foolishly get into an argument with mary if she speaks with a forked tongue,0,1,0,0,0,1,Religion and belief systems,category response
2472,john will have good feelings towards mary if she gives him the best gift he had ever gotten,1,1,0,0,0,0,General reference,category response
2473,john will punch mary if she teaches him anything,0,0,0,1,0,1,Culture and the arts,category response
2474,john will thank mary if she passes an examination for him,1,0,0,1,1,1,Human activities,category response
2475,john would assume mary is pranking him if she puts her arms around him,0,0,1,0,1,1,Geography and places,category response
2476,john would be arrested for leaving the town if he forgot to check in with his probation officer,0,1,0,1,0,1,Human activities,category response
2477,john would feel ashamed if mary bothers him too much,0,0,0,0,0,1,Culture and the arts,category response
2478,john would feel remorseful and apologize if he eats mary's bread,1,0,1,0,1,1,Human activities,category response
2479,john would focus on the job when he landed it,1,1,1,1,1,1,People and self,category response
2480,john would laugh on mary's fall if she slipped on a banana peel,1,1,0,1,1,1,People and self,category response
2481,john would make sure to keep quiet and hide all the evidence if he killed mary's brother,0,0,0,0,0,1,Religion and belief systems,category response
2482,john would repeatedly stomp on mary's ankle hoping to set it into place if he broke it,0,0,0,0,0,1,Geography and places,category response
2483,john would start conversation with a smile if he met mary's friend,0,0,1,1,0,1,Culture and the arts,category response
2484,john would stop exercising if he ate healthier,1,1,0,1,0,1,Health and fitness,category response
2485,john would use mary's spare keys if she brouht them to him,1,1,0,1,0,1,People and self,category response
2486,john wouldn't mind if mary decided not to be friends with him,1,1,0,1,1,0,People and self,category response
2487,joke with a fool at home and he will joke with you in the square,1,0,1,1,1,1,People and self,aphorism
2488,josh has the qualities necessary to be a good leader,1,1,0,1,1,1,Society and social sciences,campaign email
2489,just as rainwater doesn t expect anything in return for the nourishment it provides to the flowers sons sharing their wealth are the best of generosity,0,0,1,1,1,1,People and self,aphorism
2490,just because nobody complains doesn`t mean all parachutes are perfect,1,1,0,1,0,1,General reference,aphorism
2491,just because you do not take an interest in politics doesn`t mean politics won`t take an interest in you,1,0,1,1,1,1,Philosophy and thinking,aphorism
2492,just when it seems easy be careful,1,1,1,0,0,1,General reference,aphorism
2493,justice is a temporary thing that must at last come to an end but the conscience is eternal and will never die,1,0,0,1,1,1,Philosophy and thinking,aphorism
2494,justice is entirely dependent of religion,1,0,0,1,1,0,General reference,aphorism
2495,justice is to be found only in the imagination,1,0,1,1,1,0,General reference,aphorism
2496,justice without force is powerless force without justice is tyrannical,0,1,1,1,0,1,Technology and applied sciences,aphorism
2497,kansas is officially in play and that's because of dr bollier,1,1,0,1,1,0,Society and social sciences,campaign email
2498,keeping citizens safe should be a priority,1,1,0,1,1,0,Health and fitness,campaign email
2499,keeping good health and exercising regularly will give you a longer life,0,1,0,1,1,1,Health and fitness,category response
2500,keeping sharp at simple every day math saves you time in the long run,1,1,1,1,0,1,Mathematics and logic,category response
2501,kissing requires lips,0,1,0,0,0,0,People and self,Concept Net
2502,know the brain you have to get the brain you want,1,1,1,1,1,1,Philosophy and thinking,aphorism
2503,knowing about natural and physical sciences we can solve issues that they face each day to help each other live in a better world,1,1,0,1,0,1,Natural and physical sciences,category response
2504,knowing where the north star is in the sky can keep you from getting lost,0,0,0,1,0,1,General reference,category response
2505,knowledge can be communicated but not wisdom,1,0,1,1,1,0,Philosophy and thinking,aphorism
2506,knowledge has no limit,1,1,1,1,1,0,General reference,aphorism
2507,knowledge is of four kinds directly sensuous inferential recollective and supernatural,0,0,0,1,1,1,General reference,aphorism
2508,labor unions and workers rights are necessary,1,0,0,1,1,1,Society and social sciences,campaign email
2509,labour shortages can often push up prices and cause economic recoveries to slow down,1,0,0,0,1,1,Human activities,news media
2510,land masses will continue to shrink as global warming increases glacial melt,0,0,0,1,1,0,Natural and physical sciences,category response
2511,laws are made by man natural laws are made by some higher entity,1,0,0,1,1,1,Religion and belief systems,category response
2512,laws should address irregular migration to help both migrants and impacted commuinties,0,0,0,1,1,0,Culture and the arts,news media
2513,laws should not be struck down easily,1,0,1,1,1,0,Society and social sciences,news media
2514,laws that protect our environment are necessary and supersede politics,1,0,0,1,1,0,Natural and physical sciences,campaign email
2515,laziness would make you want to eat breakfast in bed,1,1,0,1,1,1,People and self,Concept Net
2516,leaders should be able to empathize with their workers during a pandemic,1,1,0,1,1,0,People and self,news media
2517,learning a skill requires practicing that skill,1,1,0,1,0,1,General reference,aphorism
2518,leaving houses and cars unlocked leaves them open to thefts,0,0,0,1,0,1,General reference,news media
2519,leaving the building people are cautious and look both ways before crossing the street,0,0,0,0,0,1,General reference,category response
2520,legislation based on evidence is more effective,1,1,1,0,1,1,Human activities,campaign email
2521,legislation requiring more and stricter background checks is not effective because most criminals are not purchasing their guns legally,1,1,0,1,1,1,Society and social sciences,news media
2522,legislation that focuses on health and safety should be a priority,1,1,0,1,1,0,Society and social sciences,campaign email
2523,legislative proposals on climate change must be actionable,0,0,0,1,0,1,General reference,news media
2524,legislators expand medical care for people during challenging times,1,0,0,0,1,1,Health and fitness,news media
2525,legislators should divide population equally before redistricting,0,1,0,0,0,0,Culture and the arts,news media
2526,let join together and vote for harley's reelection,1,0,0,1,1,0,Society and social sciences,campaign email
2527,let the florida gop know that they have failed us and will soon pay,1,0,0,1,1,1,Society and social sciences,campaign email
2528,let us never negotiate out of fear but let us never fear to negotiate,0,0,1,0,1,1,General reference,aphorism
2529,lets get back to civility and respect for one another,1,0,0,1,1,1,Society and social sciences,campaign email
2530,lets support every time we are asked to,1,0,0,1,1,1,History and events,campaign email
2531,liberals are not good in congress,1,0,0,0,1,1,Culture and the arts,campaign email
2532,liberty is the right to do what the law permits,0,1,0,1,0,0,Society and social sciences,aphorism
2533,life grants nothing to us mortals without hard work,1,0,0,1,1,1,Religion and belief systems,aphorism
2534,life is like an onion you peel it off one layer at a time and sometimes you weep,1,0,1,1,1,0,General reference,aphorism
2535,life is not measured by the number of breaths we take but by the moments that take our breath away,1,0,1,1,1,0,Philosophy and thinking,aphorism
2536,life is not separate from death it only seems that way,0,0,0,1,1,0,General reference,aphorism
2537,life is short,1,0,0,1,0,1,General reference,category response
2538,life must be lived forward but can only be understood backward,1,0,1,0,1,0,General reference,aphorism
2539,life`s a tough proposition and the first hundred years are the hardest,1,0,0,1,1,1,Philosophy and thinking,aphorism
2540,lifting heavy weights tears our muscles forcing them to heal and become stronger in the process,0,1,0,0,0,0,Health and fitness,category response
2541,like the measles love is most dangerous when it comes late in life,1,0,1,1,1,1,Philosophy and thinking,aphorism
2542,listening to music is pleasurable,1,1,0,1,1,0,General reference,Concept Net
2543,live as if you were to die tomorrow learn as if you were to live forever,1,0,1,1,1,0,Philosophy and thinking,aphorism
2544,live simply so others may simply live,1,0,1,1,0,0,Culture and the arts,aphorism
2545,live your life as though your every act were to become a universal law,0,1,0,1,0,1,Philosophy and thinking,aphorism
2546,lizzie fletcher will be a effective leader,1,1,0,1,1,0,People and self,campaign email
2547,local governments should increase civilian oversight of law enforcement,0,0,0,1,1,1,History and events,news media
2548,locksmiths close doors,0,0,0,0,0,1,Culture and the arts,category response
2549,locksmiths open doors when people call them,1,0,0,0,0,0,General reference,category response
2550,logic is a good way to solve problems,1,1,0,0,0,0,Culture and the arts,category response
2551,lonely people in talking to each other can make each other lonelier,1,1,0,1,1,0,People and self,aphorism
2552,long and frequent meeting decrease productivity and efficiency in a company,0,0,0,1,0,1,People and self,news media
2553,long range goals keep you from being frustrated by short term failures,1,1,0,1,1,0,People and self,aphorism
2554,love and scandal are the best sweeteners of tea,0,0,0,1,1,1,General reference,aphorism
2555,love for new york fellow new yorkers abolish the police,1,1,0,1,1,1,Society and social sciences,campaign email
2556,love is a reality which is born in the fairy region of romance,1,1,1,1,1,1,Geography and places,aphorism
2557,love is blind but marriage restores its sight,1,0,1,1,1,0,People and self,aphorism
2558,love is often the fruit of marriage,1,1,1,0,1,0,People and self,aphorism
2559,love makes life meaningful,1,1,1,0,1,0,General reference,category response
2560,love may turn to indifference with possession,1,1,0,1,1,1,General reference,aphorism
2561,love one another,1,1,0,0,0,0,Health and fitness,category response
2562,love would make you want to feed your family,1,0,0,1,1,1,Philosophy and thinking,Concept Net
2563,love would make you want to forgive someone,1,1,1,1,1,0,Culture and the arts,Concept Net
2564,love would make you want to kiss someone,1,1,0,1,1,0,People and self,Concept Net
2565,love would make you want to sing,1,1,1,0,1,0,People and self,Concept Net
2566,lovers become biographers,1,1,1,1,1,1,People and self,aphorism
2567,lying requires more effort than telling the truth because when you lie you have to remember made up details,1,0,0,0,1,0,General reference,category response
2568,mail in ballots are beneficial for our seniors in our community,1,0,0,1,1,0,General reference,campaign email
2569,mail in voting helps to ensure everyone uses their voice safely,1,1,0,1,1,0,Society and social sciences,campaign email
2570,mail in voting should be allowed,1,0,0,1,1,1,Society and social sciences,campaign email
2571,maine needs someone working for them,1,0,0,1,1,0,History and events,campaign email
2572,mainstream media is out of control with its attacks,1,1,0,1,1,1,Society and social sciences,campaign email
2573,make no small plans for they have not the power to stir men`s blood,1,1,1,1,1,1,People and self,aphorism
2574,make sure the data that you're dealing with is the data that you think it is,1,1,0,0,1,0,Technology and applied sciences,aphorism
2575,make your customers more awesome upgrade your user not your product make people better at something they want to get better at,1,1,0,1,1,1,People and self,aphorism
2576,making the simple complicated is commonplace making the complicated simple awesomely simple that's creativity,1,0,1,1,1,1,General reference,aphorism
2577,man has two ears and one mouth he should listen more than he talks,1,0,0,1,1,1,People and self,aphorism
2578,man makes holy what he believes as he makes beautiful what he loves,1,1,1,1,1,1,Philosophy and thinking,aphorism
2579,man speaks by being silent,1,0,1,1,1,1,People and self,aphorism
2580,mandating the wearing of face masks does not infringe on our first amendment rights,1,0,0,1,1,1,Health and fitness,news media
2581,manslaughter is a violent crime,1,1,0,1,0,0,Society and social sciences,news media
2582,manual labor that involves little knowledge of doing a task shouldn't require a license,1,1,0,1,1,0,General reference,news media
