statement,drop,length,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Gandhi led India to independence.,,33,Gandhi led India to independence.,3e8f442f21,1,1,0,1,1,0,0.999999816,0.999996674,0.999998245
Glass is brittle and can shatter.,,33,Glass is brittle and can shatter.,a5940c307e,0,1,0,0,0,0,0.999999997,0.999999963,0.99999998
Hiking reconnects us with nature.,,33,Hiking reconnects us with nature.,875110aadb,0,1,0,1,1,0,0.999999969,0.999999787,0.999999878
Hiking up hills builds endurance.,,33,Hiking up hills builds endurance.,e4aa18630c,0,1,0,0,0,0,0.999999898,0.9999999,0.999999899
Hydrogen is the lightest element.,,33,Hydrogen is the lightest element.,16870dc2de,0,1,0,0,0,0,0.999624801,0.99998086,0.999802815
Kind deeds encourage reciprocity.,,33,Kind deeds encourage reciprocity.,6a5f3f0a12,1,1,0,1,1,1,0.999999902,0.999999159,0.999999531
Kind gestures build strong bonds.,,33,Kind gestures build strong bonds.,4536d3d977,1,1,0,1,1,1,0.999999998,0.999999922,0.99999996
Leading by example fosters trust.,,33,Leading by example fosters trust.,8e1fa9a2a4,1,0,0,1,1,1,0.999999988,0.999999994,0.999999991
Listen actively in conversations.,,33,Listen actively in conversations.,d148a5fb92,1,1,0,1,1,0,0.999999975,0.999999854,0.999999915
Logical proofs validate theorems.,,33,Logical proofs validate theorems.,5674b20282,0,1,0,1,0,0,0.99911325,0.999902801,0.999507948
Logical steps enhance procedures.,,33,Logical steps enhance procedures.,7b3f445eeb,1,1,0,1,0,0,0.999998682,0.999996231,0.999997456
Malta's waters are crystal clear.,,33,Malta's waters are crystal clear.,7f6a4246b5,0,1,0,0,0,0,0.99901011,0.991287848,0.995141489
Manners matter in group settings.,,33,Manners matter in group settings.,372a7a2413,1,1,0,1,1,0,0.999999997,0.999999953,0.999999975
Mexico borders the United States.,,33,Mexico borders the United States.,b1b1c4756a,0,1,0,0,0,0,0.999999998,0.999999958,0.999999978
Modeling clay invites creativity.,,33,Modeling clay invites creativity.,d0e98797f9,0,1,0,1,1,0,0.999999394,0.99999741,0.999998402
Monotheism worships a single god.,,33,Monotheism worships a single god.,18fe292428,1,1,0,1,1,0,0.999999861,0.999999978,0.999999919
Mount Kilimanjaro is in Tanzania.,,33,Mount Kilimanjaro is in Tanzania.,892fd998ff,0,1,0,0,0,0,0.999089684,0.999997065,0.999543271
Offering forgiveness heals hurts.,,33,Offering forgiveness heals hurts.,39dee546b4,1,0,0,1,1,1,0.999978861,0.999839752,0.999909304
Patience yields positive results.,,33,Patience yields positive results.,e1b03a8fc3,1,0,0,1,1,0,0.999999659,0.999997983,0.999998821
Plays explore complex narratives.,,33,Plays explore complex narratives.,4d5e06d955,0,1,0,1,1,0,0.99980958,0.999947972,0.999878774
Proper hygiene fosters wellbeing.,,33,Proper hygiene fosters wellbeing.,d65e96de6b,0,1,0,1,0,1,0.999999948,0.999999759,0.999999853
Proteins are made of amino acids.,,33,Proteins are made of amino acids.,3a122b691e,0,1,0,0,0,0,0.999665482,0.999996674,0.999831064
Ramadan is a holy month in Islam.,,33,Ramadan is a holy month in Islam.,2ccecb74c7,1,1,0,1,0,0,0.999999992,0.99999998,0.999999986
Rational debate fosters progress.,,33,Rational debate fosters progress.,6e49f749ac,1,0,0,1,1,0,0.99999988,0.999999258,0.999999569
Rational exploration seeks truth.,,33,Rational exploration seeks truth.,774cebe0bf,1,0,0,1,1,0,0.998984472,0.999933195,0.999458721
Rational models explain patterns.,,33,Rational models explain patterns.,35cb1d53d5,0,1,0,1,0,0,0.98413367,0.999839752,0.991955626
Reflection deepens understanding.,,33,Reflection deepens understanding.,5b1e2996ed,0,0,0,1,1,0,0.99999995,0.99999949,0.99999972
Responding promptly is courteous.,,33,Responding promptly is courteous.,622508895,1,1,0,1,1,1,0.999999654,0.999999812,0.999999733
Rigorous methods enhance studies.,,33,Rigorous methods enhance studies.,755d0c0662,0,1,0,1,0,0,0.999999504,0.999995729,0.999997616
Robotics automates complex tasks.,,33,Robotics automates complex tasks.,ce4c23733f,0,1,0,1,0,0,0.999998546,0.999998776,0.999998661
Saying sorry mends relationships.,,33,Saying sorry mends relationships.,39924058fb,1,1,0,1,1,1,0.999301313,0.99470694,0.99700148
Setting intentions directs focus.,,33,Setting intentions directs focus.,f89192ca32,1,0,0,1,1,0,0.999990938,0.999995729,0.999993333
Showering daily promotes hygiene.,,33,Showering daily promotes hygiene.,cff3ade64d,0,1,0,0,0,0,0.999997516,0.999989755,0.999993635
Simple living brings contentment.,,33,Simple living brings contentment.,08a9ad7818,1,0,0,1,1,0,0.993416051,0.99956446,0.996485514
Smiles often signal friendliness.,,33,Smiles often signal friendliness.,f9293e0e7f,1,1,0,1,1,1,0.999999992,0.999999967,0.99999998
Tables organize and display data.,,33,Tables organize and display data.,2c8e256271,0,1,0,0,0,0,0.999999344,0.999999691,0.999999517
Team spirit enhances performance.,,33,Team spirit enhances performance.,b006133b8a,1,1,0,1,1,0,0.999999782,0.999998776,0.999999279
Teamwork achieves better results.,,33,Teamwork achieves better results.,57cec306e5,1,1,0,1,1,0,0.999999874,0.99999955,0.999999712
The Bible guides Christian faith.,,33,The Bible guides Christian faith.,212b0f163f,1,0,0,1,0,0,0.999999965,0.999999759,0.999999862
The Grand Canyon is breathtaking.,,33,The Grand Canyon is breathtaking.,3f92d0b6c3,0,1,0,0,0,0,0.999999475,0.999997714,0.999998595
Thorough reviews ensure accuracy.,,33,Thorough reviews ensure accuracy.,478ced5a79,1,1,0,1,1,0,0.999999407,0.999996674,0.99999804
Timely meals regulate metabolism.,,33,Timely meals regulate metabolism.,3fd0fe7381,0,1,0,0,0,0,0.970891202,0.999186459,0.984937227
VR creates immersive experiences.,,33,VR creates immersive experiences.,b511ef423f,0,1,0,1,0,0,0.999998752,0.999998776,0.999998764
Vacuuming keeps the carpet clean.,,33,Vacuuming keeps the carpet clean.,402669231,0,1,0,1,0,0,0.999999875,0.99999892,0.999999397
Voting is a civic responsibility.,,33,Voting is a civic responsibility.,924bb82fc9,1,0,0,1,1,0,0.999999528,0.999999603,0.999999565
A hearty breakfast fuels your day.,,34,A hearty breakfast fuels your day.,23b602541f,0,1,0,1,1,0,0.999999875,0.999999422,0.999999648
A warm smile invites friendliness.,,34,A warm smile invites friendliness.,56fbe30193,1,1,0,1,1,1,0.999999889,0.999999603,0.999999746
Albert Einstein formulated E=mc^2.,,34,Albert Einstein formulated E=mc^2.,72873b9960,0,1,0,0,0,0,0.999999947,0.999999258,0.999999603
Antarctica is a frozen wonderland.,,34,Antarctica is a frozen wonderland.,8436cc35f7,0,1,0,0,0,0,0.999978744,0.999615627,0.999797169
Appreciating beauty enhances life.,,34,Appreciating beauty enhances life.,a0c4437950,1,1,0,1,1,0,0.999998739,0.999997065,0.999997902
Atheism rejects belief in deities.,,34,Atheism rejects belief in deities.,a47e4ef4d0,1,1,0,1,1,0,0.999999989,0.9999999,0.999999944
Atlases contain maps of the world.,,34,Atlases contain maps of the world.,dc8ad1b980,0,1,0,0,0,0,0.999999902,0.999999649,0.999999776
Celebrating milestones brings joy.,,34,Celebrating milestones brings joy.,8977b19ba1,1,1,0,1,1,0,0.999999765,0.99999822,0.999998992
Clear logic disentangles problems.,,34,Clear logic disentangles problems.,60a620f5f5,1,0,0,1,1,0,0.999998472,0.999954085,0.999976278
Diverse teams generate creativity.,,34,Diverse teams generate creativity.,3529711b2a,1,0,0,1,1,0,0.999999734,0.999999047,0.99999939
Effective planning guides success.,,34,Effective planning guides success.,18521b4494,1,0,0,1,1,0,0.999999902,0.999999258,0.99999958
Equations balance two expressions.,,34,Equations balance two expressions.,6554ad8d8e,0,1,0,0,0,0,0.999700007,0.99985858,0.999779291
Exploring nature sparks curiosity.,,34,Exploring nature sparks curiosity.,e456ff2c89,0,1,0,1,1,1,0.999999874,0.99999949,0.999999682
Google is a popular search engine.,,34,Google is a popular search engine.,f6d95b3755,0,1,0,1,0,0,0.999999991,0.999999963,0.999999977
Grammar rules structure languages.,,34,Grammar rules structure languages.,67fd819b20,0,1,0,1,0,0,0.999983977,0.999978311,0.999981144
Grass is green due to chlorophyll.,,34,Grass is green due to chlorophyll.,ab43e811d5,0,1,0,0,0,0,0.999982778,0.999983109,0.999982943
Handwritten letters feel personal.,,34,Handwritten letters feel personal.,9b62166734,0,1,0,1,1,0,0.9999997,0.999998613,0.999999157
Integrity reflects true character.,,34,Integrity reflects true character.,4336267851,1,1,0,1,1,0,0.999999765,0.99999822,0.999998992
Legal systems uphold social order.,,34,Legal systems uphold social order.,fef5ec39f5,1,0,0,1,1,0,0.999999948,0.99999822,0.999999084
Literature captures human stories.,,34,Literature captures human stories.,c5ed98dc61,1,0,0,1,1,0,0.999999991,0.999999922,0.999999956
Logical implications follow rules.,,34,Logical implications follow rules.,4eea0b91e0,1,1,0,1,1,0,0.999927414,0.999990959,0.999959186
Logical reasoning clarifies facts.,,34,Logical reasoning clarifies facts.,f16cd319e9,1,1,0,1,1,0,0.999993963,0.999988391,0.999991177
Luxembourg is small but beautiful.,,34,Luxembourg is small but beautiful.,537c7fddc4,0,1,0,1,1,0,0.999978261,0.999989755,0.999984008
Maps are essential for navigation.,,34,Maps are essential for navigation.,e32539f53c,0,1,0,0,0,0,0.99999944,0.99999741,0.999998425
Monuments honor cultural heritage.,,34,Monuments honor cultural heritage.,c57dbdf80b,1,1,0,1,1,0,0.999999894,0.999999345,0.999999619
Morning dew glistens on the grass.,,34,Morning dew glistens on the grass.,ec564b1142,0,1,0,0,0,0,0.999999816,0.999996674,0.999998245
Mount Everest is the tallest peak.,,34,Mount Everest is the tallest peak.,8459e24ac2,0,1,0,0,0,0,0.999998653,0.999992021,0.999995337
Objective data validates theories.,,34,Objective data validates theories.,b91649bdda,1,1,0,1,1,0,0.999539679,0.99988986,0.999714754
Orchestras perform composed music.,,34,Orchestras perform composed music.,d6da116e9e,0,1,0,1,0,0,0.999999917,0.99999949,0.999999704
Outdoor activities uplift spirits.,,34,Outdoor activities uplift spirits.,da86c685fb,0,1,0,1,1,0,0.999999956,0.99999955,0.999999753
Painting captures light and shade.,,34,Painting captures light and shade.,2fb3770e57,0,1,0,1,0,0,0.999901233,0.99995948,0.999930356
Painting captures moments in time.,,34,Painting captures moments in time.,09ed0fcf95,0,1,0,1,1,0,0.999976191,0.999985094,0.999980642
Proper posture prevents back pain.,,34,Proper posture prevents back pain.,7ed665cb32,0,1,0,1,0,0,0.999997283,0.999986845,0.999992064
Rational review enhances policies.,,34,Rational review enhances policies.,f840b21b71,1,1,0,1,1,0,0.997283878,0.999660785,0.998471624
Rome is rich with ancient history.,,34,Rome is rich with ancient history.,63d26aac2b,1,0,0,1,1,0,0.999999916,0.999999886,0.999999901
Science builds on empirical facts.,,34,Science builds on empirical facts.,4e3a02a3ac,1,0,0,1,0,0,0.999997156,0.99999822,0.999997688
Sculpture can memorialize history.,,34,Sculpture can memorialize history.,2c3e359579,0,0,0,1,1,0,0.999999962,0.999999939,0.999999951
Short summaries aid comprehension.,,34,Short summaries aid comprehension.,bc20c85a54,1,1,0,1,0,0,0.999999975,0.999999258,0.999999617
Staying active enhances longevity.,,34,Staying active enhances longevity.,415b1a29ef,0,1,0,0,0,0,0.999999983,0.999999422,0.999999703
Storytelling captures imagination.,,34,Storytelling captures imagination.,8d7856b254,1,1,0,1,1,0,0.999999798,0.999999159,0.999999478
Stretching prevents muscle cramps.,,34,Stretching prevents muscle cramps.,dd801a8b7a,0,1,0,0,0,0,0.932749161,0.748063097,0.83531744
The Hajj is a pilgrimage to Mecca.,,34,The Hajj is a pilgrimage to Mecca.,91613eab18,1,1,0,1,0,0,0.999999822,0.999999971,0.999999896
The Maldives are paradise islands.,,34,The Maldives are paradise islands.,3ed21d95b5,0,1,0,0,0,0,0.997857349,0.991288199,0.99456735
The squeaky wheel gets the grease.,,34,The squeaky wheel gets the grease.,02a1f85f14,0,0,0,1,1,0,0.999996543,0.999985094,0.999990818
Using sunscreen protects the skin.,,34,Using sunscreen protects the skin.,5f1dacb3da,0,1,0,0,0,0,0.999999077,0.999999922,0.9999995
Wearables can monitor vital signs.,,34,Wearables can monitor vital signs.,c224282eb5,0,1,0,0,0,0,0.999997058,0.999998613,0.999997836
Analysis of facts informs strategy.,,35,Analysis of facts informs strategy.,295bdf7ff5,1,0,0,1,1,1,0.999999028,0.999995161,0.999997094
Apologizing restores relationships.,,35,Apologizing restores relationships.,2a17a506d2,1,1,0,1,1,1,0.986232086,0.944535686,0.965158743
Arbor Day celebrates tree planting.,,35,Arbor Day celebrates tree planting.,7f1eb60f93,0,1,0,0,1,0,0.999999268,0.999999603,0.999999435
Baking fills the house with warmth.,,35,Baking fills the house with warmth.,6a61b1025e,0,1,0,1,0,0,0.999520836,0.997163335,0.99834139
Calculus studies change and motion.,,35,Calculus studies change and motion.,de51401f3d,0,1,0,0,0,0,0.999996483,0.999978311,0.999987397
Calligraphy turns writing into art.,,35,Calligraphy turns writing into art.,e4fc40e51e,0,1,0,1,1,0,0.999999022,0.999994516,0.999996769
Careful planning improves outcomes.,,35,Careful planning improves outcomes.,fd8672d655,1,1,0,1,1,0,0.999999919,0.99999949,0.999999705
Cats typically dislike getting wet.,,35,Cats typically dislike getting wet.,d53db7c79a,0,1,0,1,0,1,0.999999861,0.999999603,0.999999732
Celebrating diversity brings unity.,,35,Celebrating diversity brings unity.,332dfce54d,1,0,0,1,1,0,0.999827775,0.999875197,0.999851485
Ceramics blend function and beauty.,,35,Ceramics blend function and beauty.,5c255614bb,0,1,0,1,1,0,0.999997145,0.999975423,0.999986284
Clouds are formed from water vapor.,,35,Clouds are formed from water vapor.,ae0a46634d,0,1,0,0,0,0,0.999999328,0.99999892,0.999999124
Comic books blend text and visuals.,,35,Comic books blend text and visuals.,52b899bc63,0,1,0,1,0,0,0.999999982,0.999999958,0.99999997
Communal worship strengthens faith.,,35,Communal worship strengthens faith.,8d8140a6e5,1,1,0,1,1,0,0.999995837,0.999985094,0.999990465
Composting reduces household waste.,,35,Composting reduces household waste.,993f51a9cc,0,1,0,0,0,0,0.999999861,0.999999422,0.999999642
Consecutive integers differ by one.,,35,Consecutive integers differ by one.,53973e3f33,0,1,0,0,0,0,0.999999926,0.999999787,0.999999857
Consistency builds reliable habits.,,35,Consistency builds reliable habits.,84f5dec4c3,1,1,0,1,1,0,0.999999777,0.999999812,0.999999795
Consistent practice brings mastery.,,35,Consistent practice brings mastery.,6d6d39dd66,1,0,0,1,1,0,0.999999935,0.999999691,0.999999813
Constructive criticism aids growth.,,35,Constructive criticism aids growth.,2ccda6f1c1,1,0,0,1,1,1,0.999999955,0.999999787,0.999999871
Cultural narratives shape identity.,,35,Cultural narratives shape identity.,8646df7706,1,0,0,1,1,0,0.999997677,0.999999047,0.999998362
Drawing improves fine motor skills.,,35,Drawing improves fine motor skills.,42754592,0,1,0,1,0,0,0.999999556,0.99999949,0.999999523
Electricity powers our daily lives.,,35,Electricity powers our daily lives.,0cc8ac9286,0,1,0,1,0,0,0.999999964,0.999999812,0.999999888
Ethical hacking safeguards systems.,,35,Ethical hacking safeguards systems.,9def5f8fa6,0,1,0,1,1,0,0.999984801,0.999985094,0.999984948
Evaluating arguments refines ideas.,,35,Evaluating arguments refines ideas.,3d3e00ebdc,1,0,0,1,1,0,0.999993125,0.999999649,0.999996387
Facts are foundational in learning.,,35,Facts are foundational in learning.,ec1200268d,1,0,0,1,0,0,0.999999706,0.999997983,0.999998844
Fresh sheets promise restful sleep.,,35,Fresh sheets promise restful sleep.,3ffb0e5456,0,1,0,1,1,0,0.999095911,0.996359117,0.997726576
Gathering spaces fortify community.,,35,Gathering spaces fortify community.,e2fdc2b517,1,1,0,1,1,0,0.999999802,0.999998776,0.999999289
Gravity pulls objects toward Earth.,,35,Gravity pulls objects toward Earth.,fe9f63e0d5,0,1,0,0,0,0,0.999999572,0.99999822,0.999998896
Healthy minds reside in fit bodies.,,35,Healthy minds reside in fit bodies.,e777b3631c,0,1,0,1,1,0,0.96459979,0.856265434,0.908819816
Iceland boasts stunning landscapes.,,35,Iceland boasts stunning landscapes.,7876eb273e,0,1,0,0,0,0,0.999997185,0.999988391,0.999992788
Immediate feedback offers guidance.,,35,Immediate feedback offers guidance.,1619077ec7,1,1,0,1,1,1,0.999999705,0.999996231,0.999997968
Italy's Tuscany region is charming.,,35,Italy's Tuscany region is charming.,c5fe4b79a9,0,1,0,1,1,0,0.999999559,0.999992021,0.99999579
Journaling fosters self-reflection.,,35,Journaling fosters self-reflection.,91e825234e,1,0,0,1,1,0,0.999999543,0.999999812,0.999999677
Kinetic energy is energy in motion.,,35,Kinetic energy is energy in motion.,7400bc300e,0,1,0,0,0,0,0.999923078,0.999968443,0.999945761
Logical deductions provide answers.,,35,Logical deductions provide answers.,d0a52e7ad6,1,1,0,1,1,0,0.998334458,0.998955513,0.998644937
Logical fallacies weaken arguments.,,35,Logical fallacies weaken arguments.,ebaaa8f5d0,1,0,0,1,1,0,0.99999948,0.99999949,0.999999485
Measuring twice saves cutting once.,,35,Measuring twice saves cutting once.,abead70112,0,0,0,1,0,0,0.999997543,0.999996674,0.999997108
Metaphors enrich our conversations.,,35,Metaphors enrich our conversations.,acf2abdd58,1,0,0,1,1,0,0.999999362,0.999995161,0.999997261
Mindful eating prevents overeating.,,35,Mindful eating prevents overeating.,ce5d082f0a,0,1,0,1,0,0,0.999985059,0.999933195,0.999959127
Mount Everest attracts adventurers.,,35,Mount Everest attracts adventurers.,d49b78e3f7,0,1,0,0,1,0,0.999999787,0.999999047,0.999999417
Murals add vibrancy to communities.,,35,Murals add vibrancy to communities.,eb59308f97,0,1,0,1,1,0,0.99999975,0.99999892,0.999999335
Natural selection drives evolution.,,35,Natural selection drives evolution.,340884db08,0,1,0,0,0,0,0.999995149,0.999997714,0.999996432
Novels can offer social commentary.,,35,Novels can offer social commentary.,4157971cc8,1,1,0,1,1,0,0.999999991,0.999999994,0.999999992
Objective analysis prevents biases.,,35,Objective analysis prevents biases.,a51f2b94a8,1,0,0,1,0,0,0.568535927,0.856265525,0.697723236
Objective criteria ensure fairness.,,35,Objective criteria ensure fairness.,ab5e9c34ba,1,1,0,1,1,0,0.740713704,0.495483,0.605814368
Organized analyses improve results.,,35,Organized analyses improve results.,70768377a7,0,1,0,0,0,0,1,0.999985094,0.999992547
Parables often teach moral lessons.,,35,Parables often teach moral lessons.,5b89d146f7,1,0,0,1,1,0,0.999999988,0.999999988,0.999999988
Phone apps can track daily fitness.,,35,Phone apps can track daily fitness.,49aaaf5efe,0,1,0,1,0,0,0.99999988,0.999999971,0.999999925
Physical phenomena occur naturally.,,35,Physical phenomena occur naturally.,97855a4902,0,1,0,0,0,0,0.999994349,0.999986845,0.999990597
Public art beautifies urban spaces.,,35,Public art beautifies urban spaces.,ed72544fd1,0,1,0,1,1,0,0.999999354,0.999999258,0.999999306
Reading sacred texts offers wisdom.,,35,Reading sacred texts offers wisdom.,0d9a9a4c30,1,0,0,1,1,0,0.999776456,0.999972151,0.999874299
Recycling protects the environment.,,35,Recycling protects the environment.,245b893958,0,1,0,0,0,0,0.999999877,0.999999649,0.999999763
Safety protocols prevent accidents.,,35,Safety protocols prevent accidents.,c83d697dc5,0,1,0,1,0,0,0.999999451,0.999997714,0.999998582
Saying good morning builds rapport.,,35,Saying good morning builds rapport.,0e68f17355,1,1,0,1,1,1,0.999998384,0.999999422,0.999998903
Sequences follow specific patterns.,,35,Sequences follow specific patterns.,b674381987,0,1,0,0,0,0,0.999936208,0.999990959,0.999963583
Shared experiences create memories.,,35,Shared experiences create memories.,7bf5bc90f7,1,1,0,1,1,1,0.999999714,0.999998776,0.999999245
Sharing strengthens community ties.,,35,Sharing strengthens community ties.,d30bde1700,1,1,0,1,1,0,0.999999901,0.99999955,0.999999725
Steer clear of negative influences.,,35,Steer clear of negative influences.,32de268916,1,1,0,1,1,0,0.999999943,0.999999422,0.999999683
Sunscreen protects against UV rays.,,35,Sunscreen protects against UV rays.,232042b8f4,0,1,0,0,0,0,0.999999994,0.999999922,0.999999958
Symbolism adds depth to literature.,,35,Symbolism adds depth to literature.,31f8135958,1,0,0,1,1,0,0.999997808,0.999999727,0.999998767
Taoism teaches harmony with nature.,,35,Taoism teaches harmony with nature.,f06a559bb1,1,1,0,1,1,0,0.999988666,0.999999422,0.999994044
The Pyrenees form a natural border.,,35,The Pyrenees form a natural border.,03914bb0c8,0,1,0,0,0,0,0.999935079,0.998049525,0.998991857
The pen is mightier than the sword.,,35,The pen is mightier than the sword.,eb7f2e348a,0,0,0,1,1,0,0.999976123,0.999954085,0.999965104
Water boils at 100 degrees Celsius.,,35,Water boils at 100 degrees Celsius.,67dca20bb0,0,1,0,0,0,0,0.999976123,0.99985858,0.99991735
Water molecules expand when frozen.,,35,Water molecules expand when frozen.,6e7c80dfd4,0,1,0,0,0,0,0.999862625,0.999735809,0.999799215
Worker bees contribute to the hive.,,35,Worker bees contribute to the hive.,83968b71d6,0,1,0,0,0,0,0.999999798,0.999999422,0.99999961
A right angle is exactly 90 degrees.,,36,A right angle is exactly 90 degrees.,64b9920aab,0,1,0,0,0,0,0.999999714,0.999999759,0.999999736
Absence makes the heart grow fonder.,,36,Absence makes the heart grow fonder.,6e80137a14,1,0,0,1,1,1,0.999997776,0.999989755,0.999993766
Beachcombing finds hidden treasures.,,36,Beachcombing finds hidden treasures.,bc35bc8495,0,1,0,1,1,0,0.852756974,0.996786244,0.921963352
Blogging encourages self-expression.,,36,Blogging encourages self-expression.,b7aefc2487,1,1,0,1,1,0,0.999999968,0.999999886,0.999999927
Body language communicates feelings.,,36,Body language communicates feelings.,df82b3f6a0,1,1,0,1,1,0,0.999999999,0.999999985,0.999999992
Choreography guides dance movements.,,36,Choreography guides dance movements.,292644abc3,0,1,0,1,0,0,0.999999563,0.999999967,0.999999765
Clear structures elucidate concepts.,,36,Clear structures elucidate concepts.,8a36764b27,0,1,0,1,1,0,0.924477105,0.99865905,0.960852449
Clichés often carry profound truths.,,36,Clichés often carry profound truths.,de9d5d4169,1,0,0,1,1,0,0.996419407,0.999947972,0.998182131
Compliments are like emotional hugs.,,36,Compliments are like emotional hugs.,4bd35f4323,1,1,0,1,1,0,0.999979923,0.999983109,0.999981516
Critical thinking identifies errors.,,36,Critical thinking identifies errors.,16af8d535d,1,0,0,1,1,0,0.999996417,0.999989755,0.999993086
Cultural dance preserves traditions.,,36,Cultural dance preserves traditions.,9489253829,1,1,0,1,1,0,0.999999997,0.999999939,0.999999968
Cyber laws shape digital governance.,,36,Cyber laws shape digital governance.,568aeeaa89,0,1,0,1,0,0,0.999976638,0.999839752,0.999908193
Denmark boasts high quality of life.,,36,Denmark boasts high quality of life.,bdbc79f17f,1,1,0,1,1,0,0.999998577,0.999997714,0.999998145
Derivatives measure rates of change.,,36,Derivatives measure rates of change.,f96312cfe9,0,1,0,1,0,0,0.705816388,0.999875196,0.840076365
Efficient workflows increase output.,,36,Efficient workflows increase output.,368decfdb1,0,1,0,1,0,0,0.999998697,0.999999727,0.999999212
Engaging stories captivate the mind.,,36,Engaging stories captivate the mind.,17a36ca31a,1,1,0,1,1,0,0.999999711,0.999999931,0.999999821
Environmental conservation is vital.,,36,Environmental conservation is vital.,6deda9230f,0,1,0,1,1,0,0.999999972,0.999999787,0.99999988
Evaluating actions predicts results.,,36,Evaluating actions predicts results.,12aa5da8b3,1,0,0,1,1,1,0.912039624,0.77409462,0.840241017
Fair weather friends are unreliable.,,36,Fair weather friends are unreliable.,0397b0a48c,0,1,0,1,1,0,0.999999895,0.999999911,0.999999903
Freshly laundered clothes feel soft.,,36,Freshly laundered clothes feel soft.,4e0ec80946,0,1,0,1,0,0,0.999998801,0.999983109,0.999990955
Freshly mowed lawn smells wonderful.,,36,Freshly mowed lawn smells wonderful.,1fe176479d,0,1,0,0,0,0,0.987708179,0.950891613,0.969125081
Good posture supports spinal health.,,36,Good posture supports spinal health.,acb6b0cfa9,0,1,0,0,0,0,0.999999976,0.999999787,0.999999882
Greeting warmly fosters connections.,,36,Greeting warmly fosters connections.,63b338d743,1,1,0,1,1,1,0.99999999,0.999999939,0.999999965
Heating food kills harmful bacteria.,,36,Heating food kills harmful bacteria.,ea7a24ffeb,0,1,0,0,0,0,0.999999902,0.99999822,0.999999061
Honest feedback fosters improvement.,,36,Honest feedback fosters improvement.,4e2c802f5e,1,1,0,1,1,1,0.999999972,0.999999967,0.99999997
Hydration supports bodily functions.,,36,Hydration supports bodily functions.,e1096c5d39,0,1,0,0,0,0,0.999999992,0.99999998,0.999999986
Judaism observes the Sabbath weekly.,,36,Judaism observes the Sabbath weekly.,92e164d588,1,1,0,1,0,0,0.999996361,0.999999649,0.999998005
Libraries support lifelong learning.,,36,Libraries support lifelong learning.,9eeb21f0c6,0,1,0,1,1,0,0.999999983,0.999999854,0.999999918
Logical formulas generate solutions.,,36,Logical formulas generate solutions.,add5589be2,0,1,0,1,0,0,0.984228394,0.774094952,0.872860947
Monastic orders follow strict rules.,,36,Monastic orders follow strict rules.,c68489be8a,1,1,0,1,0,0,0.999999883,0.999999812,0.999999848
Multiplication is repeated addition.,,36,Multiplication is repeated addition.,a7d46ec39b,0,1,0,0,0,0,0.999892676,0.999186459,0.999539505
Mythology explains cultural beliefs.,,36,Mythology explains cultural beliefs.,4a92c23664,1,1,0,1,1,0,0.999999673,0.999997983,0.999998828
Objective review determines quality.,,36,Objective review determines quality.,b065736e89,1,1,0,1,1,0,0.936777356,0.403413899,0.614743041
Open-mindedness encourages learning.,,36,Open-mindedness encourages learning.,e1ebfc95ab,1,0,0,1,1,0,0.999999972,0.999999787,0.99999988
Outdoor activities refresh the mind.,,36,Outdoor activities refresh the mind.,36def9739f,0,1,0,1,0,0,0.999999933,0.999999691,0.999999812
Patagonia spans Argentina and Chile.,,36,Patagonia spans Argentina and Chile.,d9618ac988,0,1,0,0,0,0,0.999997204,0.999975423,0.999986314
Plowing fields increases crop yield.,,36,Plowing fields increases crop yield.,74cb4eab87,0,1,0,0,0,0,0.999928048,0.999506484,0.999717243
Practicing tai chi promotes balance.,,36,Practicing tai chi promotes balance.,7575d84521,0,1,0,1,0,0,0.999999221,0.999999345,0.999999283
Praying together unites communities.,,36,Praying together unites communities.,d57ef72658,1,0,0,1,1,0,0.999994777,0.999954085,0.999974431
Predictive models anticipate trends.,,36,Predictive models anticipate trends.,3face4cf74,0,1,0,1,0,0,0.999998308,0.999988391,0.999993349
Prompt responses show consideration.,,36,Prompt responses show consideration.,f600c1431c,1,1,0,1,1,1,0.999999857,0.999997983,0.99999892
Recognizing biases refines judgment.,,36,Recognizing biases refines judgment.,fd06ed7f81,1,0,0,1,1,1,0.999994677,0.999999603,0.99999714
Structured review enhances teaching.,,36,Structured review enhances teaching.,bf135710cc,1,1,0,1,1,0,0.999987495,0.999914222,0.999950858
The French Revolution began in 1789.,,36,The French Revolution began in 1789.,d63f2340e8,1,1,0,1,0,0,0.999775638,0.999975423,0.999875526
The Ganges River is sacred in India.,,36,The Ganges River is sacred in India.,9698907c87,0,1,0,0,0,0,0.999999176,0.999985094,0.999992135
The water cycle sustains ecosystems.,,36,The water cycle sustains ecosystems.,f16601c4dc,0,1,0,0,0,0,0.999989902,0.999999871,0.999994887
There are seven continents on Earth.,,36,There are seven continents on Earth.,c64702b3d7,0,1,0,0,0,0,0.999999856,0.999999834,0.999999845
Thorough analysis prevents missteps.,,36,Thorough analysis prevents missteps.,729dfa96a4,1,0,0,1,1,0,0.999988203,0.999947972,0.999968087
Tipping in restaurants is customary.,,36,Tipping in restaurants is customary.,b2b80ea8f0,1,1,0,1,0,0,0.999999947,1,0.999999973
